query,issue,category,query_preprocessed,vocab
fileer,Infrastructuur,expanded,fileer,True
filetop,Infrastructuur,expanded,filetop,True
fileccia,Infrastructuur,expanded,fileccia,True
filetjes,Infrastructuur,expanded,filetjes,True
fileknelpunt,Infrastructuur,expanded,fileknelpunt,True
fileheffing,Infrastructuur,expanded,fileheffing,True
filedt,Infrastructuur,expanded,filedt,True
filespook,Infrastructuur,expanded,filespook,True
fileerden,Infrastructuur,expanded,fileerden,True
fileparkeren,Infrastructuur,expanded,fileparkeren,True
filecijfers,Infrastructuur,expanded,filecijfers,True
filenieuws,Infrastructuur,expanded,filenieuws,True
filesharing,Infrastructuur,expanded,filesharing,True
fileverkeer,Infrastructuur,expanded,fileverkeer,True
fileaanpak,Infrastructuur,expanded,fileaanpak,True
filetje,Infrastructuur,expanded,filetje,True
fileproof,Infrastructuur,expanded,fileproof,True
filekosten,Infrastructuur,expanded,filekosten,True
filemijden,Infrastructuur,expanded,filemijden,True
filevermindering,Infrastructuur,expanded,filevermindering,True
filevaren,Infrastructuur,expanded,filevaren,True
filelezer,Infrastructuur,expanded,filelezer,True
filemeter,Infrastructuur,expanded,filemeter,True
filemelding,Infrastructuur,expanded,filemelding,True
filetijd,Infrastructuur,expanded,filetijd,True
filemelder,Infrastructuur,expanded,filemelder,True
filegroei,Infrastructuur,expanded,filegroei,True
filelopen,Infrastructuur,expanded,filelopen,True
fileplannen,Infrastructuur,expanded,fileplannen,True
filebelasting,Infrastructuur,expanded,filebelasting,True
filestress,Infrastructuur,expanded,filestress,True
filetoptien,Infrastructuur,expanded,filetoptien,True
filedag,Infrastructuur,expanded,filedag,True
filebeleid,Infrastructuur,expanded,filebeleid,True
filedrukte,Infrastructuur,expanded,filedrukte,True
fileranglijst,Infrastructuur,expanded,fileranglijst,True
fileoverlast,Infrastructuur,expanded,fileoverlast,True
filemonster,Infrastructuur,expanded,filemonster,True
filerecords,Infrastructuur,expanded,filerecords,True
filenetwerken,Infrastructuur,expanded,filenetwerken,True
fileloze,Infrastructuur,expanded,fileloze,True
fileermessen,Infrastructuur,expanded,fileermessen,True
fileermesje,Infrastructuur,expanded,fileermesje,True
filegevoelig,Infrastructuur,expanded,filegevoelig,True
filer,Infrastructuur,expanded,filer,True
fileknooppunten,Infrastructuur,expanded,fileknooppunten,True
fileramp,Infrastructuur,expanded,fileramp,True
filebestrijder,Infrastructuur,expanded,filebestrijder,True
filetlapjes,Infrastructuur,expanded,filetlapjes,True
filekilometers,Infrastructuur,expanded,filekilometers,True
filemaand,Infrastructuur,expanded,filemaand,True
filemelders,Infrastructuur,expanded,filemelders,True
filefuiken,Infrastructuur,expanded,filefuiken,True
filedaling,Infrastructuur,expanded,filedaling,True
filemaker,Infrastructuur,expanded,filemaker,True
filelengtes,Infrastructuur,expanded,filelengtes,True
filegegevens,Infrastructuur,expanded,filegegevens,True
filelezers,Infrastructuur,expanded,filelezers,True
filevertraging,Infrastructuur,expanded,filevertraging,True
fileradar,Infrastructuur,expanded,fileradar,True
filerijdend,Infrastructuur,expanded,filerijdend,True
filemijders,Infrastructuur,expanded,filemijders,True
filechaos,Infrastructuur,expanded,filechaos,True
filerijdende,Infrastructuur,expanded,filerijdende,True
filelijst,Infrastructuur,expanded,filelijst,True
fileetjes,Infrastructuur,expanded,fileetjes,True
filesproeier,Infrastructuur,expanded,filesproeier,True
fileschade,Infrastructuur,expanded,fileschade,True
filehoofdstad,Infrastructuur,expanded,filehoofdstad,True
fileinformatie,Infrastructuur,expanded,fileinformatie,True
fileveroorzakers,Infrastructuur,expanded,fileveroorzakers,True
filetta,Infrastructuur,expanded,filetta,True
filestatistieken,Infrastructuur,expanded,filestatistieken,True
fileseizoen,Infrastructuur,expanded,fileseizoen,True
filevrijedag,Infrastructuur,expanded,filevrijedag,True
fileertafel,Infrastructuur,expanded,fileertafel,True
filering,Infrastructuur,expanded,filering,True
filereductie,Infrastructuur,expanded,filereductie,True
filemaatregelen,Infrastructuur,expanded,filemaatregelen,True
fileetje,Infrastructuur,expanded,fileetje,True
filetype,Infrastructuur,expanded,filetype,True
fileerder,Infrastructuur,expanded,fileerder,True
filette,Infrastructuur,expanded,filette,True
filewandelen,Infrastructuur,expanded,filewandelen,True
filebonus,Infrastructuur,expanded,filebonus,True
fileflirten,Infrastructuur,expanded,fileflirten,True
fileplekken,Infrastructuur,expanded,fileplekken,True
filelijsten,Infrastructuur,expanded,filelijsten,True
filetto,Infrastructuur,expanded,filetto,True
fileocean,Infrastructuur,expanded,fileocean,True
filepiek,Infrastructuur,expanded,filepiek,True
filed,Infrastructuur,expanded,filed,True
filezwaaien,Infrastructuur,expanded,filezwaaien,True
fileleftheros,Infrastructuur,expanded,fileleftheros,True
fileratten,Infrastructuur,expanded,fileratten,True
filegolven,Infrastructuur,expanded,filegolven,True
